ed,depth,size,time
5,5,12869545,
5,5,13636760,
5,6,13649073,
5,6,13719707,
5,6,14409921,
5,6,14357861,
5,6,14206103,
5,6,14685128,
5,6,14489624,
5,6,15241020,
5,6,14087854,
5,6,12621555,
5,6,13982138,
5,6,15133903,
5,6,15541512,
5,6,15084430,
5,6,14508436,
5,6,13354001,
5,6,13185051,
5,6,12927075,
5,6,13675701,
5,6,14954179,
5,6,13791172,
5,6,14567124,
5,6,13581911,
5,6,15766950,
5,6,14534311,
5,6,14840020,
5,6,14990143,
5,6,13931089,
5,6,12555460,
5,6,14425708,
5,6,13333662,
5,6,14173045,
5,6,15024643,
5,6,15645633,
5,6,14013512,
5,6,13369326,
5,6,14022999,
5,6,12996721,
5,6,13719571,
5,6,14512753,
5,7,15137763,
5,7,15419479,
5,7,16007304,
5,7,15232665,
5,7,14921872,
5,7,14422904,
5,7,14348012,
5,7,15097296,
5,7,14817585,
5,7,13272568,
5,7,14675899,
5,7,16357246,
5,7,15234397,
5,7,15918666,
5,7,15818774,
5,7,14041498,
5,7,13884068,
5,7,13573480,
5,7,15701671,
5,7,14277232,
5,7,15340417,
5,7,14503254,
5,7,14391094,
5,7,16574820,
5,7,15601621,
5,7,15268260,
5,7,14649569,
5,7,15789279,
5,7,13216233,
5,7,14859326,
5,7,14009027,
5,7,15159062,
5,7,15772373,
5,7,16446291,
5,7,14723237,
5,7,14051002,
5,7,14757490,
5,7,13707426,
5,7,14419927,
5,7,15244082,
5,8,15782140,
5,8,15916324,
5,8,15802043,
5,8,15584608,
5,8,15074797,
5,8,14989298,
5,8,16096916,
5,8,16717386,
5,8,13873545,
5,8,15487156,
5,8,15911371,
5,8,16499529,
5,8,14677505,
5,8,15308073,
5,8,17114515,
5,8,16644465,
5,8,14528899,
5,8,14178396,
5,8,16397066,
5,8,15051172,
5,8,14920153,
5,8,15162627,
5,8,16051047,
5,8,17319905,
5,8,15951391,
5,8,16304038,
5,8,15309198,
5,8,13830549,
5,8,15835709,
5,8,16532566,
5,8,15491232,
5,8,14638842,
5,8,16466490,
5,8,17186067,
5,8,14683454,
5,8,15381057,
5,8,14364292,
5,8,15442322,
5,8,15067538,
5,8,15920404,
5,9,15704077,
5,9,16444841,
5,9,15612582,
5,9,16751200,
5,9,16573264,
5,9,17405369,
5,9,16433685,
5,9,16219936,
5,9,16132684,
5,9,16555813,
5,9,14458797,
5,9,17150866,
5,9,17828592,
5,9,17336958,
5,9,15298338,
5,9,15927519,
5,9,15155665,
5,9,14756476,
5,9,17061211,
5,9,15684281,
5,9,15801569,
5,9,15541978,
5,9,16743496,
5,9,18042010,
5,9,16979999,
5,9,16601269,
5,9,15945558,
5,9,17244348,
5,9,14429048,
5,9,16488754,
5,9,15238313,
5,9,16098281,
5,9,17131857,
5,9,17893089,
5,9,16011010,
5,9,15292779,
5,9,16095230,
5,9,14993506,
