ED, intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
7, 4, 6:38.71, 8:15.31, 10, 171397485, 171397596
7, 4, 6:43.76, 8:14.78, 10, 171397485, 171397596
7, 4, 6:41.45, 8:17.14, 10, 171397485, 171397596
7, 4, 6:41.63, 8:15.39, 10, 171397485, 171397596
7, 5, 6:56.51, 8:43.74, 10, 171397493, 171397614
7, 5, 7:00.13, 8:43.70, 10, 171397493, 171397614
7, 5, 6:59.07, 8:43.79, 10, 171397493, 171397614
7, 5, 6:59.33, 8:45.49, 10, 171397493, 171397614
7, 5, 6:56.51, 8:44.29, 10, 171397493, 171397614
7, 6, 7:15.21, 9:10.44, 10, 171397514, 171397647
7, 6, 7:13.76, 9:10.62, 10, 171397514, 171397647
7, 6, 7:15.55, 9:10.63, 10, 171397514, 171397647
7, 6, 7:16.78, 9:10.45, 10, 171397514, 171397647
7, 6, 7:15.84, 9:10.60, 10, 171397514, 171397647
7, 7, 7:31.28, 9:34.56, 10, 171397546, 171397684
7, 7, 7:31.83, 9:35.18, 10, 171397546, 171397684
7, 7, 7:32.75, 9:35.79, 10, 171397546, 171397684
7, 7, 7:29.61, 9:34.95, 10, 171397546, 171397684
7, 7, 7:34.05, 9:35.23, 10, 171397546, 171397684
7, 8, 7:48.86, 9:58.63, 10, 171397582, 171397727
7, 8, 7:48.49, 9:58.01, 10, 171397582, 171397727
7, 8, 7:53.66, 9:57.79, 10, 171397582, 171397727
7, 8, 7:47.83, 9:57.66, 10, 171397582, 171397727
7, 8, 7:47.17, 9:58.02, 10, 171397582, 171397727
7, 9, 8:00.27, 10:19.58, 10, 171397591, 171397741
7, 9, 8:01.68, 10:19.08, 10, 171397591, 171397741
7, 9, 8:01.93, 10:19.02, 10, 171397591, 171397741
7, 9, 8:02.51, 10:19.66, 10, 171397591, 171397741
7, 9, 7:59.08, 10:19.38, 10, 171397591, 171397741
7, 10, 8:16.36, 10:39.80, 10, 171397610, 171397758
7, 10, 8:13.93, 10:39.61, 10, 171397610, 171397758
7, 10, 8:14.83, 10:39.61, 10, 171397610, 171397758
7, 10, 8:16.23, 10:39.91, 10, 171397610, 171397758
7, 10, 8:14.99, 10:39.73, 10, 171397610, 171397758
8, 1, 33:45.59, 39:52.54, 10, 254989955, 254990056
8, 2, 34:51.91, 42:13.27, 10, 254990098, 254990233
8, 3, 35:10.06, 43:57.20, 10, 254990156, 254990291
8, 4, 36:34.15, 45:24.08, 10, 254990208, 254990348
8, 5, 36:59.05, 46:23.25, 10, 254990229, 254990379
8, 6, 37:18.16, 47:25.31, 10, 254990237, 254990385
8, 7, 37:19.37, 48:03.24, 10, 254990232, 254990382
8, 8, 38:11.50, 49:01.26, 10, 254990239, 254990395
8, 9, 38:18.25, 51:24.98, 10, 254990266, 254990423
8, 10, 39:19.55, 51:05.62, 10, 254990255, 254990414
8, 1, 34:17.10, 40:23.11, 10, 254989955, 254990056
8, 2, 35:10.60, 42:44.01, 10, 254990098, 254990233
8, 3, 35:53.33, 44:43.77, 10, 254990156, 254990291
8, 4, 37:02.86, 46:21.46, 10, 254990208, 254990348
8, 5, 37:11.32, 47:03.53, 10, 254990229, 254990379
8, 7, 37:52.11, 48:42.68, 10, 254990232, 254990382
8, 8, 38:42.67, 50:08.21, 10, 254990239, 254990395
8, 9, 38:46.11, 51:20.09, 10, 254990266, 254990423
8, 10, 39:57.18, 51:57.91, 10, 254990255, 254990414
8, 1, 34:18.12, 41:27.96, 10, 254989955, 254990056
8, 2, 35:24.72, 43:22.89, 10, 254990098, 254990233
8, 3, 35:45.07, 44:38.68, 10, 254990156, 254990291
8, 4, 36:59.21, 47:44.66, 10, 254990208, 254990348
8, 5, 37:23.93, 48:03.42, 10, 254990229, 254990379
8, 7, 38:01.77, 49:25.80, 10, 254990232, 254990382
8, 8, 38:40.75, 50:55.79, 10, 254990239, 254990395
8, 9, 38:59.21, 54:10.32, 10, 254990266, 254990423
8, 10, 39:37.57, 52:07.17, 10, 254990255, 254990414
